Name,API Name,Memory,vCPUs,Family,Type,Size,Ratio,Instance Storage,SSD/HDD?,GPUs,GPU model,GPU memory
R5D Quadruple Extra Large,r5d.4xlarge,128,16,n1,highmem,16,8,600,SSD,0,None,0 GiB
R5D Eight Extra Large,r5d.8xlarge,256,32,n1,highmem,32,8,1200,SSD,0,None,0 GiB
R5D Large,r5d.large,16,2,n1,highmem,2,8,75,SSD,0,None,0 GiB
R5D Metal,r5d.metal,768,96,n1,highmem,96,8,3600,SSD,0,None,0 GiB
R5D Extra Large,r5d.xlarge,32,4,n1,highmem,4,8,150,SSD,0,None,0 GiB
R5DN 12xlarge,r5dn.12xlarge,384,48,n1,highmem,48,8,1800,SSD,0,None,0 GiB
R5DN 16xlarge,r5dn.16xlarge,512,64,n1,highmem,64,8,2400,SSD,0,None,0 GiB
R5DN 24xlarge,r5dn.24xlarge,768,96,n1,highmem,96,8,3600,SSD,0,None,0 GiB
R5DN Double Extra Large,r5dn.2xlarge,64,8,n1,highmem,8,8,300,SSD,0,None,0 GiB
R5DN Quadruple Extra Large,r5dn.4xlarge,128,16,n1,highmem,16,8,600,SSD,0,None,0 GiB
R5DN Eight Extra Large,r5dn.8xlarge,256,32,n1,highmem,32,8,1200,SSD,0,None,0 GiB
R5DN Large,r5dn.large,16,2,n1,highmem,2,8,75,SSD,0,None,0 GiB
R5DN Metal,r5dn.metal,768,96,n1,highmem,96,8,0,,0,None,0 GiB
R5DN Extra Large,r5dn.xlarge,32,4,n1,highmem,4,8,150,SSD,0,None,0 GiB
R5N 12xlarge,r5n.12xlarge,384,48,n1,highmem,48,8,0,,0,None,0 GiB
R5N 16xlarge,r5n.16xlarge,512,64,n1,highmem,64,8,0,,0,None,0 GiB
R5N 24xlarge,r5n.24xlarge,768,96,n1,highmem,96,8,0,,0,None,0 GiB
R5N Double Extra Large,r5n.2xlarge,64,8,n1,highmem,8,8,0,,0,None,0 GiB
R5N Quadruple Extra Large,r5n.4xlarge,128,16,n1,highmem,16,8,0,,0,None,0 GiB
R5N Eight Extra Large,r5n.8xlarge,256,32,n1,highmem,32,8,0,,0,None,0 GiB
R5N Large,r5n.large,16,2,n1,highmem,2,8,0,,0,None,0 GiB
R5N Metal,r5n.metal,768,96,n1,highmem,96,8,0,,0,None,0 GiB
R5N Extra Large,r5n.xlarge,32,4,n1,highmem,4,8,0,,0,None,0 GiB
T1 Micro,t1.micro,0.613,1,e2,micro,,,0,,0,None,0 GiB
T2 Double Extra Large,t2.2xlarge,32,8,e2,standard,8,,0,,0,None,0 GiB
T2 Large,t2.large,8,2,e2,standard,2,,0,,0,None,0 GiB
