lineItem/UsageType,lineItem/LineItemDescription,product/ProductName,lineItem/UnblendedCost,lineItem/UnblendedRate,lineItem/UsageAmount
EUW3-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,1.4519999999999998e-07
EUW3-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,1.7882000000000005e-06
EUW3-FreeEventsRecorded,0.0 per free event recorded in EU (Paris) region,AWS CloudTrail,0.0,0.0,2081.0
EUW3-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.2399999999999991e-05,3.999999999999997e-07,31.0
EUW3-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,62.0
HostedZone,$0.50 per Hosted Zone for the first 25 Hosted Zones,Amazon Route 53,9.0,0.5,18.0
HostedZone,Tax for product code AmazonRoute53 usage type HostedZone,Amazon Route 53,0.0,,1.0
IN-DataTransfer-Out-Bytes,$0.170 per GB - first 10 TB / month data transfer out (India),Amazon CloudFront,0.0029925839999999974,0.17000000000000134,0.0176034305
IN-DataTransfer-Out-OBytes,$0.16 per GB - All data transfer out to Origin (India),Amazon CloudFront,2.0180000000000002e-07,0.16,1.2611e-06
IN-Requests-HTTP-Proxy,"$0.0090 per 10,000 Proxy HTTP Requests (India)",Amazon CloudFront,1.8e-06,9e-07,2.0
IN-Requests-HTTPS-Proxy,"$0.0120 per 10,000 Proxy HTTPS Requests (India)",Amazon CloudFront,1.2e-06,1.2e-06,1.0
IN-Requests-Tier1,"$0.0090 per 10,000 HTTP Requests (India)",Amazon CloudFront,0.00025739999999999975,8.999999999999977e-07,286.0
IN-Requests-Tier2-HTTPS,"$0.0120 per 10,000 HTTPS Requests (India)",Amazon CloudFront,0.0017040000000000033,1.1999999999999921e-06,1420.0
Intra-AWS-DNS-Queries,Queries to Alias records are free of charge,Amazon Route 53,0.0,0.0,83317.0
