InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost,SrNo,Marker
416099361,772228263286,,PayerLineItem,6800000233652333144,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-SpotUsage:p2.8xlarge,RunInstances:SV001,1490627885,p2.8xlarge Linux/UNIX Spot Instance-hour in US West (Oregon) in VPC Zone #1,2020/03/01 17:00:00,2020/03/31 13:00:00,228.065567,0.3065397406,USD,492.62,0,0,None,492.62,345,Compute - SU
416099361,772228263286,,PayerLineItem,6800000233652333145,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AmazonSNS,Amazon Simple Notification Service,"Amazon Web Services, Inc.",USW2-DeliveryAttempts-SMTP,,947117715,"First 1,000 Amazon SNS Email/Email-JSON Notifications per month are free",2020/03/01 0:00:00,2020/03/31 23:59:59,31,,USD,0,0,0,None,0,346,Others
416099361,772228263286,,PayerLineItem,6800000233652333146,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSCloudTrail,AWS CloudTrail,"Amazon Web Services, Inc.",USE2-FreeEventsRecorded,,889351892,0.0 per free event recorded in US East (Ohio) region,2020/03/01 0:00:00,2020/03/31 23:59:59,124108,,USD,0,0,0,None,0,347,Others
416099361,772228263286,,PayerLineItem,6800000233652333147,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USW1-DataTransfer-Out-Bytes,,1000579063,$0.000 per GB - first 1 GB of data transferred out per month,2020/03/01 0:00:00,2020/03/31 23:59:59,0.00005836,,USD,0,0,0,None,0,348,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333148,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USE1-APN1-AWS-Out-Bytes,,1000751161,$0.02 per GB - US East (Northern Virginia) data transfer to Asia Pacific (Tokyo),2020/03/01 0:00:00,2020/03/31 23:59:59,0.0000033,,USD,0,0,0,None,0,349,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333149,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,1000750746,$0.000 per GB - first 1 GB of data transferred out per month,2020/03/01 0:00:00,2020/03/31 23:59:59,0.12584514,,USD,0,0,0,None,0,350,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333150,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AmazonCloudWatch,AmazonCloudWatch,"Amazon Web Services, Inc.",USW1-CW:Requests,,1373829033,"$0.00 per request - first 1,000,000 requests",2020/03/01 0:00:00,2020/03/31 23:59:59,138,,USD,0,0,0,None,0,351,Stackdriver
416099361,772228263286,,PayerLineItem,6800000233652333151,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",EUW2-DataTransfer-Out-Bytes,,1000767481,$0.000 per GB - first 1 GB of data transferred out per month,2020/03/01 0:00:00,2020/03/31 23:59:59,0.0000592,,USD,0,0,0,None,0,352,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333152,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USW2-CAN1-AWS-Out-Bytes,,1000579199,$0.02 per GB - US West (Oregon) data transfer to Canada (Central),2020/03/01 0:00:00,2020/03/31 23:59:59,0.002346,,USD,0,0,0,None,0,353,Network Egress
416099361,772228263286,,PayerLineItem,6800000233652333153,2020/03/01 0:00:00,2020/03/31 23:59:59,2020/04/02 23:50:20,Chematria,,,,AWSQueueService,Amazon Simple Queue Service,"Amazon Web Services, Inc.",SAE1-Requests-Tier1,,499236158,"First 1,000,000 Amazon SQS Requests per month are free",2020/03/01 0:00:00,2020/03/31 23:59:59,31,,USD,0,0,0,None,0,354,Others
