PayerAccountName,ProductCode,UsageType,RateId,ItemDescription,UsageQuantity,BlendedRate,CostBeforeTax,TotalCost,Tax,SrNo,Tag
Alphasense Inc,AmazonS3,TimedStorage-GlacierByteHrs,1686267991,$0.004 per GB / month of storage used - Amazon Glacier,555.8326449,,2.22,2.22,0,579,GC Storage
Alphasense Inc,AWSDataTransfer,USE1-EUS1-AWS-Out-Bytes,1698932279,USD 0.02 per GB for USE1-EUS1-AWS-Out-Bytes in EU (Milan),0.00001048,,0,0,0,580,VM to VM Egress
Alphasense Inc,AmazonEC2,BoxUsage:c5n.4xlarge,1720461795,$0.864 per On Demand Linux c5n.4xlarge Instance Hour,0.034722,,0.03,0.03,0,581,Compute - BU
Alphasense Inc,AmazonWorkSpaces,APS1-AW-SW-1,610334980,$0 per month per APS1 Region Standard WorkSpace (Software),1.14017572,,0,0,0,582,Others
Alphasense Inc,AWSDataTransfer,DataTransfer-Out-Bytes,1698932166,$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier,0.60979294,,0.05,0.06,0.01,583,Internet Egress
Alphasense Inc,AmazonEC2,SpotUsage:m5.2xlarge,1719505869,m5.2xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #62,2239.15306,,378.41,378.41,0,584,Compute - SU
Alphasense Inc,AmazonDynamoDB,USE1-TimedPITRStorage-ByteHrs,1652657400,$0.20 per GB-Month of storage used for DynamoDB PITR backup,0.00703158,,0,0,0,585,Cloud Firestore
Alphasense Inc,AWSDataTransfer,USE1-AFS1-AWS-Out-Bytes,1698932296,USD 0.02 per GB for EUN1-AWS-Out-Bytes in Africa (Cape Town),0.00016863,,0,0,0,586,VM to VM Egress
Alphasense Inc,AmazonEC2,BoxUsage:c3.large,1720449844,$0.188 per On Demand Windows c3.large Instance Hour,719,,135.17,135.17,0,587,Compute - BU
Alphasense Inc,AWSCloudTrail,USW2-FreeEventsRecorded,1655223584,0.0 per free event recorded in US West (Oregon) region,33011,,0,0,0,588,Others
Alphasense Inc,AmazonCloudFront,US-Requests-HTTPS-Proxy,1109507380,"$0.0100 per 10,000 Proxy HTTPS Requests (US)",50717321,,50.72,50.72,0,589,Cloud CDN
Alphasense Inc,AWSDataTransfer,USE1-APN1-AWS-In-Bytes,1698932155,$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Tokyo),0.00021416,,0,0,0,590,VM to VM Ingress
Alphasense Inc,AmazonElastiCache,NodeUsage:cache.t2.medium,1697100978,$0.068 per T2 Medium Cache node-hour (or partial hour) running Redis,7903,,537.4,537.4,0,591,Cloud Memorystore
