InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost,SrNo,Tag
160554237,596134326249,,PayerLineItem,6200000001420214097,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-EBS:VolumeUsage.gp2,,308588331,$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon),2018/11/01 0:00:00,2018/11/30 23:59:59,1498.496192,,USD,149.85,0,0,None,149.85,212,PD Storage
160554237,596134326249,,PayerLineItem,6200000001420214098,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-LCUUsage,LoadBalancing:Application,308582009,$0.008 per used Application load balancer capacity unit-hour (or partial hour),2018/11/01 0:00:00,2018/11/30 23:59:59,9710.196041,,USD,77.68,0,0,None,77.68,213,Load Balancer
160554237,596134326249,,PayerLineItem,6200000001420214099,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonS3,Amazon Simple Storage Service,"Amazon Web Services, Inc.",EUC1-Requests-Tier2,,307443525,"$0.0043 per 10,000 GET and all other requests",2018/11/01 0:00:00,2018/11/30 23:59:59,412,,USD,0,0,0,None,0,214,GC Storage
160554237,596134326249,,PayerLineItem,6200000001420214100,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonS3,Amazon Simple Storage Service,"Amazon Web Services, Inc.",USW2-Requests-Tier2,,307503017,"$0.004 per 10,000 GET and all other requests",2018/11/01 0:00:00,2018/11/30 23:59:59,2637630,,USD,1.06,0,0,None,1.06,215,GC Storage
160554237,596134326249,,PayerLineItem,6200000001420214101,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonS3,Amazon Simple Storage Service,"Amazon Web Services, Inc.",USW2-Requests-Tier1,,307443671,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",2018/11/01 0:00:00,2018/11/30 23:59:59,2194344,,USD,10.97,0,0,None,10.97,216,GC Storage
160554237,596134326249,,PayerLineItem,6200000001420214102,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-BoxUsage:t2.small,RunInstances,308585510,$0.023 per On Demand Linux t2.small Instance Hour,2018/11/01 0:00:00,2018/11/30 23:59:59,1440,,USD,33.12,0,0,None,33.12,217,Compute Engine
160554237,596134326249,,PayerLineItem,6200000001420214103,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-EBSOptimized:c5.4xlarge,Hourly,308585673,$0.00 for 2250 Mbps per c5.4xlarge instance-hour (or partial hour),2018/11/01 0:00:00,2018/11/30 23:59:59,720,,USD,0,0,0,None,0,218,Others
160554237,596134326249,,PayerLineItem,6200000001420214104,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonS3,Amazon Simple Storage Service,"Amazon Web Services, Inc.",EUC1-TimedStorage-ByteHrs,,307443470,$0.0245 per GB - first 50 TB / month of storage used,2018/11/01 0:00:00,2018/11/30 23:59:59,0.0773718,,USD,0,0,0,None,0,219,GC Storage
160554237,596134326249,,PayerLineItem,6200000001420214105,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-BoxUsage:c5.4xlarge,RunInstances,308577802,$0.68 per On Demand Linux c5.4xlarge Instance Hour,2018/11/01 0:00:00,2018/11/30 23:59:59,2181.257292,,USD,1483.25,0,0,None,1483.25,220,Compute Engine
160554237,596134326249,,PayerLineItem,6200000001420214106,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonS3,Amazon Simple Storage Service,"Amazon Web Services, Inc.",USW1-TimedStorage-ByteHrs,,307442941,$0.026 per GB - first 50 TB / month of storage used,2018/11/01 0:00:00,2018/11/30 23:59:59,1813.997893,,USD,47.16,0,0,None,47.16,221,GC Storage
160554237,596134326249,,PayerLineItem,6200000001420214107,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonS3,Amazon Simple Storage Service,"Amazon Web Services, Inc.",USW1-Requests-Tier1,,307442983,"$0.0055 per 1,000 PUT, COPY, POST, or LIST requests",2018/11/01 0:00:00,2018/11/30 23:59:59,5278165,,USD,29.03,0,0,None,29.03,222,GC Storage
160554237,596134326249,,PayerLineItem,6200000001420214108,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-NatGateway-Hours,NatGateway,308585966,$0.045 per NAT Gateway Hour,2018/11/01 0:00:00,2018/11/30 23:59:59,2880,,USD,129.6,0,0,None,129.6,223,Cloud NAT
160554237,596134326249,,PayerLineItem,6200000001420214109,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-EBS:VolumeUsage,,308583951,$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon),2018/11/01 0:00:00,2018/11/30 23:59:59,48.0000024,,USD,2.4,0,0,None,2.4,224,PD Storage
160554237,596134326249,,PayerLineItem,6200000001420214110,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-EBSOptimized:c5.xlarge,Hourly,308588115,$0.00 for 800 Mbps per c5.xlarge instance-hour (or partial hour),2018/11/01 0:00:00,2018/11/30 23:59:59,4320,,USD,0,0,0,None,0,225,Others
160554237,596134326249,,PayerLineItem,6200000001420214111,2018/11/01 0:00:00,2018/11/30 23:59:59,2018/12/03 7:54:24,Pioneer Works,,,,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",USW2-BoxUsage:c5.xlarge,RunInstances,308578489,$0.17 per On Demand Linux c5.xlarge Instance Hour,2018/11/01 0:00:00,2018/11/07 0:32:37,1008,,USD,171.36,0,0,None,171.36,226,Compute Engine
