,lineItem/UsageType,lineItem/LineItemDescription,product/ProductName,lineItem/UnblendedCost,lineItem/UnblendedRate,lineItem/UsageAmount
27,APS2-APE1-AWS-In-Bytes,USD0.0 per GB for  in Asia Pacific (Hong Kong),Amazon Elastic Compute Cloud,0.0,0.0,2.194128830499999
28,APS2-APE1-AWS-Out-Bytes,USD0.098 per GB for  in Asia Pacific (Hong Kong),Amazon Elastic Compute Cloud,0.0015007567999999996,0.0980000351838612,0.015313839399999996
29,APS2-APN1-AWS-In-Bytes,$0.00 per GB - Asia Pacific (Sydney) data transfer from Asia Pacific (Tokyo),Amazon Elastic Compute Cloud,0.0,0.0,0.654774638400001
30,APS2-APN1-AWS-Out-Bytes,$0.098 per GB - Asia Pacific (Sydney) data transfer to Asia Pacific (Tokyo),Amazon Elastic Compute Cloud,0.0007129673000000004,0.09800022402256765,0.007275159899999995
31,APS2-APN1-AWS-Out-Bytes,$0.098 per GB - Asia Pacific (Sydney) data transfer to Asia Pacific (Tokyo),Amazon Simple Storage Service,2.5908999999999718e-05,0.09833585476550508,0.00026347460000000175
32,APS2-APN2-AWS-In-Bytes,$0.00 per GB - Asia Pacific (Sydney) data transfer from Asia Pacific (Seoul),Amazon Elastic Compute Cloud,0.0,0.0,3.6384000000000006e-06
33,APS2-APN2-AWS-Out-Bytes,$0.098 per GB - Asia Pacific (Sydney) data transfer to Asia Pacific (Seoul),Amazon Elastic Compute Cloud,1.0164000000000001e-06,0.09802011707636968,1.03693e-05
34,APS2-APN2-AWS-Out-Bytes,$0.098 per GB - Asia Pacific (Sydney) data transfer to Asia Pacific (Seoul),Amazon Simple Storage Service,2.5908999999999718e-05,0.09833585476550508,0.00026347460000000175
35,APS2-APN3-AWS-In-Bytes,$0.00 per GB - Asia Pacific (Sydney) data transfer from Asia Pacific (Osaka-Local),Amazon Elastic Compute Cloud,0.0,0.0,4.1e-08
36,APS2-APN3-AWS-Out-Bytes,$0.098 per GB - Asia Pacific (Sydney) data transfer to Asia Pacific (Osaka-Local),Amazon Elastic Compute Cloud,3.7e-09,0.09919571045576407,3.73e-08
37,APS2-APS1-AWS-In-Bytes,$0.00 per GB - Asia Pacific (Sydney) data transfer from Asia Pacific (Singapore),Amazon Elastic Compute Cloud,0.0,0.0,5.722376694999989
38,APS2-APS1-AWS-Out-Bytes,$0.098 per GB - Asia Pacific (Sydney) data transfer to Asia Pacific (Singapore),Amazon Elastic Compute Cloud,0.0035877092999999955,0.09799999296353296,0.03660928119999996
39,APS2-APS1-AWS-Out-Bytes,$0.098 per GB - Asia Pacific (Sydney) data transfer to Asia Pacific (Singapore),Amazon Simple Storage Service,2.692279999999969e-05,0.09832309362693578,0.00027381970000000226
40,APS2-APS3-AWS-In-Bytes,$0.00 per GB - Asia Pacific (Sydney) data transfer from Asia Pacific (Mumbai),Amazon Elastic Compute Cloud,0.0,0.0,9.238300000000003e-05
41,APS2-APS3-AWS-Out-Bytes,$0.098 per GB - Asia Pacific (Sydney) data transfer to Asia Pacific (Mumbai),Amazon Elastic Compute Cloud,1.9892900000000004e-05,0.09800380232819936,0.00020298090000000002
42,APS2-APS3-AWS-Out-Bytes,$0.098 per GB - Asia Pacific (Sydney) data transfer to Asia Pacific (Mumbai),Amazon Simple Storage Service,3.172959999999967e-05,0.09827659154023743,0.0003228602000000031
43,APS2-AWS-In-Bytes,$0.00 per GB - Data transfer to Asia Pacific (Sydney),Amazon Elastic Compute Cloud,0.0,0.0,31.765994731801243
